"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04477V05260","Field of Study","C03919V04671","Gender","C04300V05079","HSE Health Regions","UNIT","VALUE"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","20","HSE Dublin and Midlands","Number","192"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","10","HSE Dublin and North East","Number","249"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","30","HSE Dublin and South East","Number","165"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","50","HSE Midwest","Number","78"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","60","HSE West and North West","Number","168"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","40","HSE South West","Number","174"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","10","Male","-","All HSE Regions","Number","69"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","10","Male","20","HSE Dublin and Midlands","Number","18"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","10","Male","10","HSE Dublin and North East","Number","9"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","10","Male","30","HSE Dublin and South East","Number","18"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","10","Male","50","HSE Midwest","Number","9"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","10","Male","60","HSE West and North West","Number","9"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","10","Male","40","HSE South West","Number","9"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","20","Female","-","All HSE Regions","Number","108"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","20","Female","20","HSE Dublin and Midlands","Number","21"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","20","Female","10","HSE Dublin and North East","Number","18"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","20","Female","30","HSE Dublin and South East","Number","39"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","20","Female","50","HSE Midwest","Number","3"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","20","Female","60","HSE West and North West","Number","18"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","20","Female","40","HSE South West","Number","9"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","-","All genders","-","All HSE Regions","Number","177"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","-","All genders","20","HSE Dublin and Midlands","Number","39"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","-","All genders","10","HSE Dublin and North East","Number","27"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","-","All genders","30","HSE Dublin and South East","Number","57"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","-","All genders","50","HSE Midwest","Number","12"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","-","All genders","60","HSE West and North West","Number","27"
"HGO22C01","Number of Health Graduates","2011","2011","202","Medicine","-","All genders","40","HSE South West","Number","18"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","10","Male","-","All HSE Regions","Number","60"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","10","Male","20","HSE Dublin and Midlands","Number","9"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","10","Male","10","HSE Dublin and North East","Number","12"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","10","Male","30","HSE Dublin and South East","Number","12"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","10","Male","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","10","Male","60","HSE West and North West","Number","12"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","10","Male","40","HSE South West","Number","12"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","20","Female","-","All HSE Regions","Number","384"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","20","Female","20","HSE Dublin and Midlands","Number","66"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","20","Female","10","HSE Dublin and North East","Number","66"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","20","Female","30","HSE Dublin and South East","Number","75"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","20","Female","50","HSE Midwest","Number","39"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","20","Female","60","HSE West and North West","Number","78"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","20","Female","40","HSE South West","Number","63"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","-","All genders","-","All HSE Regions","Number","444"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","-","All genders","20","HSE Dublin and Midlands","Number","75"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","-","All genders","10","HSE Dublin and North East","Number","78"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","-","All genders","30","HSE Dublin and South East","Number","84"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","-","All genders","50","HSE Midwest","Number","42"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","-","All genders","60","HSE West and North West","Number","90"
"HGO22C01","Number of Health Graduates","2011","2011","702","Social Care","-","All genders","40","HSE South West","Number","72"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","-","All HSE Regions","Number","60"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","20","HSE Dublin and Midlands","Number","9"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","10","HSE Dublin and North East","Number","18"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","30","HSE Dublin and South East","Number","9"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","50","HSE Midwest","Number","9"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","60","HSE West and North West","Number","6"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","40","HSE South West","Number","9"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","20","Female","-","All HSE Regions","Number","822"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","20","Female","20","HSE Dublin and Midlands","Number","141"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","20","Female","10","HSE Dublin and North East","Number","186"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","20","Female","30","HSE Dublin and South East","Number","141"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","20","Female","50","HSE Midwest","Number","87"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","20","Female","60","HSE West and North West","Number","135"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","20","Female","40","HSE South West","Number","129"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","-","All genders","-","All HSE Regions","Number","879"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","-","All genders","20","HSE Dublin and Midlands","Number","150"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","-","All genders","10","HSE Dublin and North East","Number","204"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","-","All genders","30","HSE Dublin and South East","Number","150"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","-","All genders","50","HSE Midwest","Number","96"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","-","All genders","60","HSE West and North West","Number","144"
"HGO22C01","Number of Health Graduates","2012","2012","30","Nursing and Midwifery","-","All genders","40","HSE South West","Number","138"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","10","Male","-","All HSE Regions","Number","81"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","10","Male","20","HSE Dublin and Midlands","Number","18"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","10","Male","10","HSE Dublin and North East","Number","9"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","10","Male","30","HSE Dublin and South East","Number","24"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","10","Male","50","HSE Midwest","Number","3"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","10","Male","60","HSE West and North West","Number","9"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","10","Male","40","HSE South West","Number","15"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","20","Female","-","All HSE Regions","Number","99"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","20","Female","20","HSE Dublin and Midlands","Number","21"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","20","Female","10","HSE Dublin and North East","Number","18"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","20","Female","30","HSE Dublin and South East","Number","21"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","20","Female","50","HSE Midwest","Number","3"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","20","Female","60","HSE West and North West","Number","21"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","20","Female","40","HSE South West","Number","18"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","-","All genders","-","All HSE Regions","Number","183"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","-","All genders","20","HSE Dublin and Midlands","Number","39"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","-","All genders","10","HSE Dublin and North East","Number","27"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","-","All genders","30","HSE Dublin and South East","Number","45"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","-","All genders","50","HSE Midwest","Number","9"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","-","All genders","60","HSE West and North West","Number","30"
"HGO22C01","Number of Health Graduates","2012","2012","202","Medicine","-","All genders","40","HSE South West","Number","33"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","10","Male","-","All HSE Regions","Number","63"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","10","Male","20","HSE Dublin and Midlands","Number","9"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","10","Male","10","HSE Dublin and North East","Number","15"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","10","Male","30","HSE Dublin and South East","Number","12"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","10","Male","50","HSE Midwest","Number","3"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","10","Male","60","HSE West and North West","Number","12"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","10","Male","40","HSE South West","Number","12"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","20","Female","-","All HSE Regions","Number","516"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","20","Female","20","HSE Dublin and Midlands","Number","96"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","20","Female","10","HSE Dublin and North East","Number","105"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","20","Female","30","HSE Dublin and South East","Number","108"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","20","Female","50","HSE Midwest","Number","42"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","20","Female","60","HSE West and North West","Number","84"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","20","Female","40","HSE South West","Number","81"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","-","All genders","-","All HSE Regions","Number","579"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","-","All genders","20","HSE Dublin and Midlands","Number","105"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","-","All genders","10","HSE Dublin and North East","Number","120"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","-","All genders","30","HSE Dublin and South East","Number","120"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","-","All genders","50","HSE Midwest","Number","45"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","-","All genders","60","HSE West and North West","Number","96"
"HGO22C01","Number of Health Graduates","2012","2012","702","Social Care","-","All genders","40","HSE South West","Number","96"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","10","Male","-","All HSE Regions","Number","75"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","10","Male","20","HSE Dublin and Midlands","Number","15"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","10","Male","10","HSE Dublin and North East","Number","12"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","10","Male","30","HSE Dublin and South East","Number","9"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","10","Male","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","10","Male","60","HSE West and North West","Number","12"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","10","Male","40","HSE South West","Number","21"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","20","Female","-","All HSE Regions","Number","798"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","20","Female","20","HSE Dublin and Midlands","Number","153"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","20","Female","10","HSE Dublin and North East","Number","168"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","20","Female","30","HSE Dublin and South East","Number","132"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","20","Female","50","HSE Midwest","Number","72"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","20","Female","60","HSE West and North West","Number","120"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","20","Female","40","HSE South West","Number","153"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","-","All genders","-","All HSE Regions","Number","876"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","-","All genders","20","HSE Dublin and Midlands","Number","168"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","-","All genders","10","HSE Dublin and North East","Number","180"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","-","All genders","30","HSE Dublin and South East","Number","138"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","-","All genders","50","HSE Midwest","Number","78"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","-","All genders","60","HSE West and North West","Number","135"
"HGO22C01","Number of Health Graduates","2013","2013","30","Nursing and Midwifery","-","All genders","40","HSE South West","Number","174"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","10","Male","-","All HSE Regions","Number","108"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","10","Male","20","HSE Dublin and Midlands","Number","30"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","10","Male","10","HSE Dublin and North East","Number","21"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","10","Male","30","HSE Dublin and South East","Number","21"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","10","Male","50","HSE Midwest","Number","3"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","10","Male","60","HSE West and North West","Number","12"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","10","Male","40","HSE South West","Number","15"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","20","Female","-","All HSE Regions","Number","159"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","20","Female","20","HSE Dublin and Midlands","Number","39"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","20","Female","10","HSE Dublin and North East","Number","33"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","20","Female","30","HSE Dublin and South East","Number","36"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","20","Female","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","20","Female","60","HSE West and North West","Number","24"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","20","Female","40","HSE South West","Number","21"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","-","All genders","-","All HSE Regions","Number","267"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","-","All genders","20","HSE Dublin and Midlands","Number","69"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","-","All genders","10","HSE Dublin and North East","Number","54"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","-","All genders","30","HSE Dublin and South East","Number","57"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","-","All genders","50","HSE Midwest","Number","12"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","-","All genders","60","HSE West and North West","Number","36"
"HGO22C01","Number of Health Graduates","2013","2013","202","Medicine","-","All genders","40","HSE South West","Number","36"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","10","Male","-","All HSE Regions","Number","102"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","10","Male","20","HSE Dublin and Midlands","Number","18"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","10","Male","10","HSE Dublin and North East","Number","18"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","10","Male","30","HSE Dublin and South East","Number","27"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","10","Male","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","10","Male","60","HSE West and North West","Number","24"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","10","Male","40","HSE South West","Number","9"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","20","Female","-","All HSE Regions","Number","522"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","20","Female","20","HSE Dublin and Midlands","Number","108"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","20","Female","10","HSE Dublin and North East","Number","93"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","20","Female","30","HSE Dublin and South East","Number","123"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","20","Female","50","HSE Midwest","Number","54"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","20","Female","60","HSE West and North West","Number","90"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","20","Female","40","HSE South West","Number","51"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","-","All genders","-","All HSE Regions","Number","624"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","-","All genders","20","HSE Dublin and Midlands","Number","126"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","-","All genders","10","HSE Dublin and North East","Number","111"
