"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04477V05260","Field of Study","C03919V04671","Gender","C03433V04141","Years since Graduation","C02511V03040","Private or Public Sector","UNIT","VALUE"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","11","11","02","Public sector","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","12","12","-","All sectors","Number","63"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","12","12","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","12","12","02","Public sector","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","13","13","-","All sectors","Number","63"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","13","13","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","13","13","02","Public sector","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","01","1","-","All sectors","Number","783"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","01","1","01","Private sector","Number","351"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","01","1","02","Public sector","Number","432"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","02","2","-","All sectors","Number","774"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","02","2","01","Private sector","Number","342"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","02","2","02","Public sector","Number","432"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","03","3","-","All sectors","Number","774"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","03","3","01","Private sector","Number","333"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","03","3","02","Public sector","Number","441"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","04","4","-","All sectors","Number","798"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","04","4","01","Private sector","Number","315"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","04","4","02","Public sector","Number","483"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","05","5","-","All sectors","Number","813"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","05","5","01","Private sector","Number","267"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","05","5","02","Public sector","Number","546"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","06","6","-","All sectors","Number","846"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","06","6","01","Private sector","Number","240"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","06","6","02","Public sector","Number","606"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","07","7","-","All sectors","Number","864"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","07","7","01","Private sector","Number","240"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","07","7","02","Public sector","Number","624"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","08","8","-","All sectors","Number","879"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","08","8","01","Private sector","Number","252"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","08","8","02","Public sector","Number","627"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","09","9","-","All sectors","Number","894"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","09","9","01","Private sector","Number","246"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","09","9","02","Public sector","Number","648"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","10","10","-","All sectors","Number","864"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","10","10","01","Private sector","Number","240"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","10","10","02","Public sector","Number","624"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","11","11","-","All sectors","Number","897"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","11","11","01","Private sector","Number","234"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","11","11","02","Public sector","Number","663"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","12","12","-","All sectors","Number","900"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","12","12","01","Private sector","Number","243"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","12","12","02","Public sector","Number","657"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","13","13","-","All sectors","Number","897"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","13","13","01","Private sector","Number","246"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","13","13","02","Public sector","Number","648"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","01","1","-","All sectors","Number","846"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","01","1","01","Private sector","Number","369"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","01","1","02","Public sector","Number","480"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","02","2","-","All sectors","Number","837"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","02","2","01","Private sector","Number","360"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","02","2","02","Public sector","Number","477"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","03","3","-","All sectors","Number","840"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","03","3","01","Private sector","Number","348"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","03","3","02","Public sector","Number","492"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","04","4","-","All sectors","Number","861"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","04","4","01","Private sector","Number","330"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","04","4","02","Public sector","Number","531"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","05","5","-","All sectors","Number","876"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","05","5","01","Private sector","Number","276"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","05","5","02","Public sector","Number","600"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","06","6","-","All sectors","Number","909"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","06","6","01","Private sector","Number","246"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","06","6","02","Public sector","Number","660"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","07","7","-","All sectors","Number","927"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","07","7","01","Private sector","Number","252"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","07","7","02","Public sector","Number","675"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","08","8","-","All sectors","Number","942"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","08","8","01","Private sector","Number","264"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","08","8","02","Public sector","Number","681"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","09","9","-","All sectors","Number","960"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","09","9","01","Private sector","Number","255"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","09","9","02","Public sector","Number","702"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","10","10","-","All sectors","Number","924"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","10","10","01","Private sector","Number","252"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","10","10","02","Public sector","Number","675"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","11","11","-","All sectors","Number","960"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","11","11","01","Private sector","Number","243"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","11","11","02","Public sector","Number","717"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","12","12","-","All sectors","Number","963"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","12","12","01","Private sector","Number","255"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","12","12","02","Public sector","Number","711"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","13","13","-","All sectors","Number","960"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","13","13","01","Private sector","Number","258"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","13","13","02","Public sector","Number","702"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","01","1","-","All sectors","Number","99"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","01","1","01","Private sector","Number",""
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","01","1","02","Public sector","Number","99"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","02","2","-","All sectors","Number","81"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","02","2","01","Private sector","Number","3"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","02","2","02","Public sector","Number","78"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","03","3","-","All sectors","Number","81"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","03","3","01","Private sector","Number","3"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","03","3","02","Public sector","Number","78"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","04","4","-","All sectors","Number","78"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","04","4","01","Private sector","Number","6"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","04","4","02","Public sector","Number","75"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","05","5","-","All sectors","Number","78"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","05","5","01","Private sector","Number","3"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","05","5","02","Public sector","Number","75"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","06","6","-","All sectors","Number","75"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","06","6","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","06","6","02","Public sector","Number","66"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","07","7","-","All sectors","Number","72"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","07","7","01","Private sector","Number","18"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","07","7","02","Public sector","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","08","8","-","All sectors","Number","69"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","08","8","01","Private sector","Number","18"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","08","8","02","Public sector","Number","51"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","09","9","-","All sectors","Number","66"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","09","9","01","Private sector","Number","21"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","09","9","02","Public sector","Number","48"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","10","10","-","All sectors","Number","57"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","10","10","01","Private sector","Number","12"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","10","10","02","Public sector","Number","45"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","11","11","-","All sectors","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","11","11","01","Private sector","Number","12"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","11","11","02","Public sector","Number","45"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","12","12","-","All sectors","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","12","12","01","Private sector","Number","15"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","12","12","02","Public sector","Number","39"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","13","13","-","All sectors","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","13","13","01","Private sector","Number","18"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","13","13","02","Public sector","Number","36"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","01","1","-","All sectors","Number","165"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","01","1","01","Private sector","Number","3"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","01","1","02","Public sector","Number","162"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","02","2","-","All sectors","Number","129"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","02","2","01","Private sector","Number","6"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","02","2","02","Public sector","Number","123"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","03","3","-","All sectors","Number","144"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","03","3","01","Private sector","Number","6"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","03","3","02","Public sector","Number","138"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","04","4","-","All sectors","Number","141"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","04","4","01","Private sector","Number","6"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","04","4","02","Public sector","Number","132"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","05","5","-","All sectors","Number","141"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","05","5","01","Private sector","Number","6"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","05","5","02","Public sector","Number","132"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","06","6","-","All sectors","Number","132"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","06","6","01","Private sector","Number","21"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","06","6","02","Public sector","Number","111"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","07","7","-","All sectors","Number","126"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","07","7","01","Private sector","Number","27"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","07","7","02","Public sector","Number","102"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","08","8","-","All sectors","Number","123"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","08","8","01","Private sector","Number","39"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","08","8","02","Public sector","Number","87"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","09","9","-","All sectors","Number","120"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","09","9","01","Private sector","Number","42"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","09","9","02","Public sector","Number","78"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","10","10","-","All sectors","Number","111"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","10","10","01","Private sector","Number","45"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","10","10","02","Public sector","Number","66"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","11","11","-","All sectors","Number","108"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","11","11","01","Private sector","Number","42"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","11","11","02","Public sector","Number","66"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","12","12","-","All sectors","Number","111"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","12","12","01","Private sector","Number","39"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","12","12","02","Public sector","Number","72"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","13","13","-","All sectors","Number","114"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","13","13","01","Private sector","Number","42"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","13","13","02","Public sector","Number","75"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","01","1","-","All sectors","Number","261"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","01","1","01","Private sector","Number","3"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","01","1","02","Public sector","Number","258"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","02","2","-","All sectors","Number","210"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","02","2","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","02","2","02","Public sector","Number","201"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","03","3","-","All sectors","Number","225"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","03","3","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","03","3","02","Public sector","Number","216"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","04","4","-","All sectors","Number","219"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","04","4","01","Private sector","Number","12"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","04","4","02","Public sector","Number","207"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","05","5","-","All sectors","Number","216"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","05","5","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","05","5","02","Public sector","Number","207"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","06","6","-","All sectors","Number","207"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","06","6","01","Private sector","Number","30"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","06","6","02","Public sector","Number","180"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","07","7","-","All sectors","Number","201"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","07","7","01","Private sector","Number","45"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","07","7","02","Public sector","Number","156"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","08","8","-","All sectors","Number","192"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","08","8","01","Private sector","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","08","8","02","Public sector","Number","138"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","09","9","-","All sectors","Number","186"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","09","9","01","Private sector","Number","60"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","09","9","02","Public sector","Number","126"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","10","10","-","All sectors","Number","168"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","10","10","01","Private sector","Number","57"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","10","10","02","Public sector","Number","111"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","11","11","-","All sectors","Number","162"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","11","11","01","Private sector","Number","51"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","11","11","02","Public sector","Number","111"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","12","12","-","All sectors","Number","165"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","12","12","01","Private sector","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","12","12","02","Public sector","Number","111"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","13","13","-","All sectors","Number","171"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","13","13","01","Private sector","Number","60"
"HGO19C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","13","13","02","Public sector","Number","111"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","01","1","-","All sectors","Number","45"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","01","1","01","Private sector","Number","36"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","01","1","02","Public sector","Number","12"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","02","2","-","All sectors","Number","42"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","02","2","01","Private sector","Number","33"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","02","2","02","Public sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","03","3","-","All sectors","Number","42"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","03","3","01","Private sector","Number","30"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","03","3","02","Public sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","04","4","-","All sectors","Number","45"
"HGO19C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","04","4","01","Private sector","Number","33"
