"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04477V05260","Field of Study","C03919V04671","Gender","C03433V04141","Years since Graduation","UNIT","VALUE"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","10","10","Euro","935"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","11","11","Euro","946"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","12","12","Euro","1000"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","13","13","Euro","1035"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","01","1","Euro","702"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","02","2","Euro","726"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","03","3","Euro","737"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","04","4","Euro","766"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","05","5","Euro","812"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","06","6","Euro","830"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","07","7","Euro","863"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","08","8","Euro","885"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","09","9","Euro","919"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","10","10","Euro","955"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","11","11","Euro","963"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","12","12","Euro","1025"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","13","13","Euro","1051"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","01","1","Euro","1271"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","02","2","Euro","1326"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","03","3","Euro","1272"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","04","4","Euro","1320"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","05","5","Euro","1555"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","06","6","Euro","1599"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","07","7","Euro","1766"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","08","8","Euro","1834"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","09","9","Euro","1678"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","10","10","Euro","1904"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","11","11","Euro","2073"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","12","12","Euro","2483"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","10","Male","13","13","Euro","3327"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","01","1","Euro","1270"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","02","2","Euro","1223"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","03","3","Euro","1231"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","04","4","Euro","1266"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","05","5","Euro","1304"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","06","6","Euro","1405"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","07","7","Euro","1406"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","08","8","Euro","1540"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","09","9","Euro","1536"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","10","10","Euro","1615"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","11","11","Euro","1743"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","12","12","Euro","1834"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","20","Female","13","13","Euro","2504"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","01","1","Euro","1270"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","02","2","Euro","1259"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","03","3","Euro","1243"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","04","4","Euro","1285"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","05","5","Euro","1373"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","06","6","Euro","1465"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","07","7","Euro","1496"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","08","8","Euro","1607"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","09","9","Euro","1560"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","10","10","Euro","1690"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","11","11","Euro","1864"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","12","12","Euro","2093"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","202","Medicine","-","All genders","13","13","Euro","2876"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","01","1","Euro","605"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","02","2","Euro","598"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","03","3","Euro","659"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","04","4","Euro","685"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","05","5","Euro","681"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","06","6","Euro","703"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","07","7","Euro","730"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","08","8","Euro","783"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","09","9","Euro","790"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","10","10","Euro","841"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","11","11","Euro","933"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","12","12","Euro","994"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","10","Male","13","13","Euro","1031"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","01","1","Euro","463"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","02","2","Euro","478"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","03","3","Euro","511"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","04","4","Euro","543"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","05","5","Euro","578"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","06","6","Euro","618"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","07","7","Euro","646"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","08","8","Euro","678"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","09","9","Euro","692"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","10","10","Euro","704"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","11","11","Euro","738"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","12","12","Euro","783"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","20","Female","13","13","Euro","828"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","01","1","Euro","476"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","02","2","Euro","487"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","03","3","Euro","521"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","04","4","Euro","553"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","05","5","Euro","594"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","06","6","Euro","626"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","07","7","Euro","653"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","08","8","Euro","690"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","09","9","Euro","702"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","10","10","Euro","715"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","11","11","Euro","754"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","12","12","Euro","796"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","702","Social Care","-","All genders","13","13","Euro","845"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","01","1","Euro","738"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","02","2","Euro","801"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","03","3","Euro","820"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","04","4","Euro","872"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","05","5","Euro","908"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","06","6","Euro","941"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","07","7","Euro","1018"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","08","8","Euro","1065"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","09","9","Euro","1136"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","10","10","Euro","1174"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","11","11","Euro","1284"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","12","12","Euro","1335"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","13","13","Euro",""
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","01","1","Euro","668"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","02","2","Euro","686"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","03","3","Euro","716"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","04","4","Euro","745"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","05","5","Euro","778"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","06","6","Euro","846"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","07","7","Euro","880"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","08","8","Euro","916"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","09","9","Euro","951"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","10","10","Euro","967"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","11","11","Euro","1001"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","12","12","Euro","1058"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","13","13","Euro",""
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","01","1","Euro","672"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","02","2","Euro","690"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","03","3","Euro","719"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","04","4","Euro","749"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","05","5","Euro","781"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","06","6","Euro","850"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","07","7","Euro","886"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","08","8","Euro","920"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","09","9","Euro","962"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","10","10","Euro","978"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","11","11","Euro","1015"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","12","12","Euro","1076"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","13","13","Euro",""
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","01","1","Euro","1132"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","02","2","Euro","1208"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","03","3","Euro","1245"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","04","4","Euro","1358"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","05","5","Euro","1587"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","06","6","Euro","1665"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","07","7","Euro","1761"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","08","8","Euro","1843"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","09","9","Euro","1964"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","10","10","Euro","2101"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","11","11","Euro","2518"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","12","12","Euro","3080"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","10","Male","13","13","Euro",""
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","01","1","Euro","1135"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","02","2","Euro","1208"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","03","3","Euro","1233"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","04","4","Euro","1310"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","05","5","Euro","1306"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","06","6","Euro","1478"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","07","7","Euro","1528"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","08","8","Euro","1477"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","09","9","Euro","1533"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","10","10","Euro","1575"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","11","11","Euro","1733"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","12","12","Euro","2018"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","20","Female","13","13","Euro",""
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","01","1","Euro","1136"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","02","2","Euro","1208"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","03","3","Euro","1238"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","04","4","Euro","1322"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","05","5","Euro","1368"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","06","6","Euro","1513"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","07","7","Euro","1644"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","08","8","Euro","1558"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","09","9","Euro","1647"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","10","10","Euro","1736"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","11","11","Euro","2001"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","12","12","Euro","2278"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","202","Medicine","-","All genders","13","13","Euro",""
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","01","1","Euro","532"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","02","2","Euro","552"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","03","3","Euro","607"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","04","4","Euro","682"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","05","5","Euro","688"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","06","6","Euro","754"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","07","7","Euro","770"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","08","8","Euro","782"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","09","9","Euro","788"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","10","10","Euro","831"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","11","11","Euro","907"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","12","12","Euro","997"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","10","Male","13","13","Euro",""
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","01","1","Euro","408"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","02","2","Euro","465"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","03","3","Euro","476"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","04","4","Euro","532"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","05","5","Euro","599"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","06","6","Euro","621"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","07","7","Euro","642"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","08","8","Euro","666"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","09","9","Euro","702"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","10","10","Euro","706"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","11","11","Euro","754"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","12","12","Euro","782"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","20","Female","13","13","Euro",""
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","01","1","Euro","429"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","02","2","Euro","470"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","03","3","Euro","499"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","04","4","Euro","551"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","05","5","Euro","606"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","06","6","Euro","638"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","07","7","Euro","658"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","08","8","Euro","680"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","09","9","Euro","711"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","10","10","Euro","730"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","11","11","Euro","765"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","12","12","Euro","806"
"HGO20C01","Median Weekly Earnings of Health Graduates","2011","2011","702","Social Care","-","All genders","13","13","Euro",""
"HGO20C01","Median Weekly Earnings of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","01","1","Euro","683"
"HGO20C01","Median Weekly Earnings of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","02","2","Euro","732"
"HGO20C01","Median Weekly Earnings of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","03","3","Euro","791"
"HGO20C01","Median Weekly Earnings of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","04","4","Euro","836"
"HGO20C01","Median Weekly Earnings of Health Graduates","2012","2012","30","Nursing and Midwifery","10","Male","05","5","Euro","901"
